id,driver_id,passenger_id,date,rating,cost
1,1,54,2016-04-05,3,1293
2,67,146,2016-01-13,5,2157
3,50,87,2016-05-02,3,1181
4,13,70,2016-05-14,4,2436
5,3,12,2015-12-14,2,1406
6,48,137,2016-06-02,5,1474
7,84,236,2015-05-20,4,2476
8,93,104,2016-08-08,5,1424
9,17,286,2016-03-03,5,2347
10,8,263,2015-12-14,5,2329
11,71,149,2016-01-12,1,2043
12,12,237,2016-08-21,1,2671
13,83,298,2015-05-27,5,1287
14,48,247,2015-09-13,1,2865
15,26,143,2016-06-17,5,2071
16,25,259,2016-05-25,5,2129
17,21,63,2015-08-23,4,2876
18,72,192,2017-01-10,1,2796
19,5,140,2016-02-16,5,1388
20,3,8,2016-02-05,1,2526
21,71,16,2016-10-16,2,1884
22,96,275,2015-03-13,1,1809
23,51,189,2015-05-02,5,2882
24,75,280,2015-11-04,4,1092
25,21,257,2016-05-17,4,2369
26,92,194,2016-12-08,3,2923
27,9,158,2015-03-12,4,2180
28,57,40,2016-03-12,4,1900
29,45,127,2016-02-02,3,2919
30,28,230,2016-10-12,5,2027
31,66,113,2015-07-15,3,1148
32,20,57,2016-06-17,5,1659
33,92,31,2015-12-09,5,2655
34,94,41,2016-05-30,3,1406
35,84,148,2016-12-10,2,2363
36,38,154,2017-02-08,2,2364
37,49,80,2016-04-01,4,1465
38,16,281,2016-06-13,2,1764
39,48,191,2016-06-03,2,1906
40,76,221,2017-01-30,2,2437
41,56,35,2015-10-22,5,1361
42,69,267,2017-01-14,2,2277
43,38,135,2016-11-08,1,2095
44,17,146,2016-03-06,5,2888
45,57,284,2017-01-28,4,1089
46,98,1,2016-06-28,2,2070
47,88,157,2016-05-12,2,1447
48,73,202,2015-06-24,1,1203
49,26,266,2015-11-15,2,2564
50,47,277,2015-10-12,4,1155
51,64,275,2015-07-01,5,2342
52,21,254,2015-11-07,1,1477
53,9,119,2015-04-02,5,1170
54,99,149,2015-11-27,1,2972
55,15,161,2015-07-31,1,1103
56,31,85,2016-05-24,2,1396
57,40,237,2015-10-21,3,2746
58,91,240,2016-06-13,4,2328
59,97,65,2016-03-09,4,1680
60,57,190,2015-08-09,1,2726
61,4,254,2016-11-21,2,2999
62,29,253,2016-08-18,5,2960
63,36,293,2016-07-14,2,1039
64,58,118,2015-06-19,1,1680
65,49,258,2015-06-03,5,1802
66,26,274,2016-03-15,3,2507
67,9,77,2015-11-14,4,2112
68,94,53,2015-09-24,2,1722
69,29,226,2016-10-20,1,2694
70,3,162,2016-09-09,3,2039
71,42,29,2015-05-26,2,2477
72,7,62,2016-03-19,3,2871
73,87,296,2015-10-26,2,1118
74,94,118,2015-03-18,4,2800
75,19,44,2015-10-25,5,1271
76,51,164,2016-10-09,5,2620
77,40,205,2016-05-18,2,2486
78,52,70,2015-12-23,1,2463
79,30,222,2017-02-01,5,1704
80,88,175,2016-07-05,1,1861
81,60,241,2016-05-22,2,1222
82,23,221,2015-12-14,3,2299
84,61,217,2015-04-19,4,1666
85,90,86,2017-02-05,3,2428
86,99,211,2015-06-26,5,2732
87,20,138,2016-06-10,2,1030
89,92,183,2015-11-19,5,1666
90,48,288,2015-03-17,4,1962
91,42,81,2015-04-20,4,1838
92,10,80,2015-05-13,1,2563
93,57,19,2015-06-25,5,2568
94,47,139,2015-06-19,5,1105
95,97,118,2016-03-06,1,2224
96,73,97,2016-12-14,1,1474
97,54,271,2016-06-14,5,1151
98,65,172,2016-09-18,1,1218
99,29,107,2015-07-03,4,1268
100,29,138,2016-09-04,2,2547
101,70,225,2016-06-24,1,1246
102,58,70,2015-07-11,1,1183
103,72,26,2015-08-03,4,2604
104,85,272,2015-04-27,4,1295
105,44,246,2016-09-19,5,2738
106,65,45,2017-01-05,3,1620
107,54,254,2015-11-18,2,2888
108,43,90,2016-11-13,4,2786
109,5,165,2016-07-01,5,2189
110,83,140,2016-12-30,1,1538
111,90,273,2015-12-14,3,1400
112,78,145,2016-01-15,1,2442
113,45,188,2016-12-30,3,2889
114,2,87,2015-08-29,3,1662
115,16,35,2015-11-22,5,1502
116,84,129,2015-05-16,2,2199
117,82,111,2016-12-27,2,2390
118,2,234,2016-01-07,5,2353
119,55,278,2016-12-04,3,1244
120,40,153,2015-07-14,2,1370
121,29,106,2016-11-27,1,1802
122,1,247,2015-12-24,5,2510
123,10,280,2015-11-27,4,1827
124,1,26,2016-10-16,4,1553
125,48,35,2015-09-14,1,1752
126,46,56,2016-10-31,3,1426
127,30,15,2016-10-11,3,1764
128,55,249,2015-05-21,2,2254
129,54,122,2015-12-02,3,2239
130,46,273,2016-01-02,1,1129
131,51,172,2015-07-25,4,1199
132,5,113,2017-02-10,5,2391
133,12,240,2015-04-05,1,2820
134,73,32,2017-02-26,2,2195
135,77,146,2016-05-05,5,1945
136,38,147,2015-10-02,3,1275
137,45,162,2015-04-05,1,2360
138,5,192,2016-08-16,3,1280
139,56,88,2016-03-25,5,1463
140,2,206,2015-07-21,2,1514
141,11,19,2016-08-27,2,1387
142,40,294,2016-05-26,1,1515
143,59,277,2016-10-06,4,2348
144,48,170,2017-03-01,3,1569
145,58,185,2015-08-23,1,1244
146,38,102,2017-01-20,4,2034
147,58,28,2015-04-20,3,1779
148,48,133,2015-07-07,4,1005
149,32,183,2015-04-12,1,2139
150,56,40,2016-01-17,1,1736
151,80,273,2015-07-13,1,2528
152,45,135,2016-03-25,3,1666
153,45,110,2016-05-10,1,2669
155,65,194,2016-07-17,2,2889
156,94,41,2017-01-01,4,1373
157,53,291,2016-04-18,3,1982
158,80,207,2016-03-09,4,2663
159,8,285,2016-12-31,5,2116
160,26,101,2016-01-30,4,2971
161,50,245,2016-07-15,2,2602
162,6,93,2015-03-09,4,1469
163,17,225,2017-03-01,3,2648
164,38,26,2015-12-04,4,1912
165,67,236,2015-10-25,5,1671
166,31,278,2015-08-27,1,2098
167,67,37,2017-01-17,5,1220
168,21,179,2016-12-04,4,2421
169,6,204,2015-05-19,4,2416
170,92,6,2016-10-12,3,1651
171,13,181,2017-01-06,1,1998
172,77,214,2017-01-07,2,2321
173,93,57,2016-08-28,1,2725
174,88,121,2016-10-30,3,1180
175,44,249,2016-06-05,4,1520
176,11,139,2017-02-05,5,2772
177,65,119,2016-04-26,2,2481
178,82,291,2017-01-12,3,2708
179,8,93,2016-06-15,1,2032
180,81,164,2017-01-28,3,2458
181,22,284,2015-05-06,5,1339
182,64,111,2016-07-14,4,1440
183,70,132,2016-03-03,2,2274
184,75,93,2016-04-01,2,2353
185,98,83,2015-03-09,4,1261
186,52,77,2016-07-12,3,1605
187,60,164,2016-07-01,3,1496
188,71,124,2016-01-17,2,2230
189,73,268,2016-11-26,1,2967
190,14,265,2015-04-22,5,2712
191,9,197,2016-09-21,1,2528
192,69,74,2015-03-17,3,2152
193,83,165,2016-10-24,4,2945
194,4,207,2017-02-15,5,1606
195,54,30,2015-11-25,5,1615
196,80,288,2015-06-22,2,2957
197,95,162,2015-11-22,5,2223
198,36,17,2015-07-23,1,1827
199,92,18,2017-01-30,1,1360
200,93,186,2016-06-04,3,2610
201,20,161,2016-02-20,1,2429
202,40,250,2016-04-05,3,2387
203,97,85,2016-12-31,2,1010
204,98,12,2015-06-09,2,1124
205,87,131,2015-07-09,2,2266
206,47,225,2015-03-08,2,1288
207,70,59,2016-09-24,1,1077
208,46,92,2016-06-13,2,2450
209,94,141,2016-10-30,1,1200
210,81,164,2015-07-14,5,1124
211,34,208,2016-06-22,3,1122
212,28,89,2015-06-03,1,1744
213,32,197,2015-12-27,5,2353
214,78,230,2016-12-31,1,2573
215,41,233,2016-10-09,3,1692
216,1,201,2015-03-24,1,1890
217,78,274,2016-09-11,4,1018
218,11,147,2016-04-03,2,2675
219,3,171,2016-03-12,4,2326
220,56,254,2016-02-13,3,1788
221,25,207,2016-09-07,1,1362
222,83,284,2016-12-01,5,1066
223,61,289,2016-05-15,1,1549
224,57,141,2016-11-16,3,1722
225,28,67,2015-03-24,4,2944
226,8,183,2016-09-26,3,1354
227,11,198,2016-06-21,2,1136
228,18,19,2015-10-10,5,1091
229,25,67,2015-11-02,5,2103
230,99,233,2016-10-12,4,1138
231,66,76,2015-05-11,2,2612
232,92,281,2017-02-07,3,2506
233,80,191,2016-03-27,5,2005
234,85,234,2016-12-08,2,2838
235,81,229,2015-12-10,2,1547
236,2,263,2015-12-08,2,1506
237,17,170,2016-08-09,2,1816
238,83,209,2016-12-19,5,2697
239,52,177,2015-03-19,3,1948
240,44,272,2017-01-15,4,1760
241,89,274,2015-12-08,5,2847
242,34,14,2016-01-26,4,2185
243,44,90,2016-09-14,2,2592
244,82,193,2016-10-12,3,2068
245,62,34,2016-04-24,2,1818
246,59,26,2015-07-02,2,1584
247,3,290,2016-03-09,4,1033
248,66,214,2015-06-16,5,2534
249,17,7,2015-09-27,3,1829
250,69,203,2016-04-14,1,2575
251,54,265,2016-11-08,5,1565
252,25,152,2016-01-26,4,1953
253,17,200,2016-12-28,3,2247
254,4,37,2015-08-17,3,2221
255,45,62,2015-10-15,4,1568
256,11,22,2015-10-29,4,1541
257,26,141,2016-01-30,2,1388
258,51,213,2016-06-26,4,1883
259,38,163,2016-12-05,4,2137
260,42,258,2015-12-14,1,1827
261,45,136,2016-03-24,4,2034
262,19,164,2015-08-15,1,1663
263,30,108,2017-02-13,3,1699
264,32,128,2016-09-02,5,1353
265,12,85,2015-08-27,5,1305
266,66,176,2015-03-08,1,2547
268,42,154,2015-05-22,2,1332
269,17,238,2016-01-24,3,2289
270,70,210,2016-02-15,5,2841
271,88,295,2015-03-12,3,1699
272,17,1,2015-09-14,4,1652
273,7,88,2015-07-26,3,1174
274,25,6,2016-06-24,3,2806
275,68,120,2016-04-02,5,2755
276,7,204,2015-10-20,2,2583
277,18,87,2015-09-21,3,2937
278,83,220,2015-10-02,1,1467
279,47,278,2015-04-02,3,2115
280,97,198,2016-10-03,4,2548
281,20,288,2015-03-11,3,1172
282,52,288,2016-10-10,4,1313
283,21,69,2015-08-20,3,2025
284,42,246,2015-04-23,2,1469
285,65,88,2015-10-19,5,2715
286,60,226,2016-11-11,5,2740
287,74,78,2016-01-29,2,2653
288,70,140,2015-09-26,2,1923
289,60,86,2015-05-19,2,1408
290,19,16,2016-06-13,5,1241
291,95,235,2015-06-07,4,2329
292,15,77,2016-08-25,5,2870
293,15,83,2016-08-01,2,1556
294,54,232,2015-10-06,2,2262
295,6,87,2015-08-14,1,2816
296,29,158,2016-06-30,3,1881
297,19,7,2016-02-27,5,2002
298,59,70,2016-10-28,2,1933
299,55,85,2015-11-01,2,2918
300,90,251,2016-01-31,2,2959
301,69,295,2015-07-11,2,2448
302,16,103,2015-12-11,1,2938
303,98,203,2016-06-28,2,1822
304,91,211,2015-07-10,1,1549
305,69,232,2015-05-19,5,2735
306,49,89,2017-02-03,1,1642
307,93,240,2015-11-26,4,2039
308,5,265,2015-09-22,3,2459
309,45,210,2015-03-17,2,2139
310,80,88,2017-01-22,4,1252
311,17,76,2016-03-21,3,1845
312,3,279,2015-10-07,1,2579
313,35,171,2016-09-18,1,1204
314,77,176,2016-02-06,3,1834
315,49,79,2016-02-18,2,1832
316,84,154,2015-03-13,2,2531
317,84,168,2016-09-17,4,2334
318,67,217,2015-09-14,5,2810
319,5,164,2016-02-03,1,1507
320,53,204,2015-04-07,1,1784
321,72,148,2015-09-28,3,2289
322,9,154,2016-06-07,3,2579
323,16,242,2016-02-11,2,2388
324,28,254,2015-04-10,5,2488
325,79,156,2015-07-18,4,1111
326,52,127,2015-10-13,1,1358
327,72,56,2015-10-13,2,2599
328,54,192,2016-03-10,1,1517
329,49,75,2015-12-10,3,2694
330,8,137,2015-11-10,3,2430
331,40,280,2015-08-22,5,2374
332,81,96,2017-01-22,3,1845
333,75,80,2015-05-29,4,1120
334,70,231,2016-01-03,1,1914
335,90,243,2016-06-24,3,2384
336,42,244,2016-09-11,1,2498
337,31,45,2016-11-10,2,1241
338,67,51,2016-12-30,1,2967
339,8,182,2016-08-07,2,2968
340,51,142,2016-01-03,4,1213
341,96,3,2016-02-28,2,2427
342,39,54,2016-02-29,2,1027
343,23,170,2015-08-28,3,1500
344,43,249,2016-02-26,3,1557
345,13,99,2015-03-26,5,2923
346,39,293,2016-07-19,3,2883
347,5,74,2016-06-09,4,1351
348,76,51,2015-08-13,2,1263
349,44,105,2016-07-01,4,2749
350,78,179,2016-01-31,5,1255
351,87,79,2015-06-08,5,1781
352,13,88,2016-08-06,4,1256
353,22,24,2016-11-26,3,2745
354,95,120,2015-03-28,3,1035
355,54,45,2015-04-02,2,2060
356,46,292,2016-11-24,1,2419
357,69,239,2016-05-01,2,2268
358,32,58,2015-04-20,1,1294
359,41,230,2015-07-18,2,1101
360,20,133,2016-05-06,2,2988
361,72,136,2016-05-13,3,2071
362,33,237,2016-01-30,4,2597
363,72,246,2016-11-05,1,2922
364,4,257,2016-01-15,5,1029
365,45,151,2015-04-05,2,2463
366,76,260,2017-01-19,1,2234
367,71,45,2017-02-07,2,2370
368,20,179,2015-03-16,3,2274
369,65,224,2016-10-05,4,2264
370,97,159,2015-12-06,5,2270
371,41,218,2015-08-07,1,1274
372,90,63,2015-05-22,2,1743
373,15,281,2016-05-09,4,2626
374,78,240,2015-09-06,2,1413
375,81,211,2016-01-20,2,2563
376,66,97,2016-05-08,5,2001
377,36,252,2015-06-01,2,2075
378,21,59,2015-05-18,1,1698
379,63,172,2016-04-04,2,1477
380,83,262,2017-01-25,4,1652
381,77,12,2015-06-13,5,1087
382,58,113,2015-10-06,4,2361
383,10,2,2015-07-14,2,1108
384,91,212,2015-08-10,4,1417
385,12,208,2016-09-20,1,2367
386,58,236,2015-07-03,1,1068
387,95,245,2016-06-06,5,2397
388,37,265,2015-11-30,3,1988
389,34,195,2015-10-08,1,2227
390,39,170,2016-06-18,4,1711
391,59,238,2016-05-09,3,1550
392,19,62,2016-12-24,5,2972
393,98,290,2015-08-22,5,2562
394,85,180,2015-05-01,2,2557
395,30,214,2016-04-27,4,1587
396,80,137,2017-02-01,5,1281
397,92,276,2015-12-31,3,2588
398,54,220,2016-08-07,4,1627
399,64,144,2017-01-30,2,1814
400,9,132,2016-10-19,5,1836
401,41,231,2016-06-15,2,2431
402,64,33,2017-02-19,3,1015
403,24,181,2016-11-06,3,2772
404,71,44,2016-12-11,4,2289
405,34,125,2015-08-14,5,2950
406,77,248,2015-08-07,5,2698
407,95,240,2015-07-21,5,1425
408,98,124,2015-05-08,5,1743
409,64,202,2016-03-01,1,1782
410,72,189,2016-09-11,1,2156
411,82,61,2016-03-18,1,1440
412,21,243,2015-05-28,4,2261
413,71,167,2016-04-14,1,1853
414,84,196,2016-04-16,2,1775
415,10,169,2016-08-03,5,2216
416,78,20,2016-01-23,4,2122
417,1,129,2015-03-29,1,2791
418,28,235,2016-08-13,4,2460
419,34,81,2016-04-13,3,1683
420,99,92,2016-10-08,1,1105
421,46,92,2016-04-10,1,1114
422,38,85,2016-06-24,2,2812
423,99,245,2016-06-29,5,2970
424,66,139,2016-09-18,2,2916
425,18,257,2016-01-09,4,1446
426,60,205,2016-08-28,2,2686
427,74,12,2015-04-18,5,1474
428,16,105,2016-11-22,4,2102
429,43,163,2015-08-11,4,2334
430,3,15,2016-02-10,5,1917
431,12,197,2016-08-11,5,2665
432,22,57,2016-09-15,3,2347
433,64,225,2016-12-22,1,2056
434,1,112,2015-06-07,2,2779
435,49,267,2015-09-12,4,1790
436,58,182,2017-01-06,2,1194
437,13,132,2016-07-20,5,2701
438,4,85,2015-09-17,4,2703
439,1,146,2015-09-23,1,1179
440,19,143,2016-10-18,2,1425
441,4,236,2016-12-23,4,2305
442,21,289,2016-08-25,1,2860
443,42,39,2016-03-27,4,2896
444,71,183,2016-11-18,1,2308
445,91,132,2016-03-25,3,1800
446,26,209,2016-01-10,5,1921
447,47,148,2015-08-30,5,2207
448,90,63,2016-09-22,5,2520
449,90,228,2016-08-01,5,1818
450,40,76,2015-10-10,2,1304
451,2,233,2015-08-17,5,1984
452,53,139,2015-11-28,4,1398
453,89,234,2016-04-24,4,2010
454,82,137,2016-09-22,4,2075
455,57,219,2015-08-13,5,1748
456,78,13,2016-03-14,4,1676
457,83,161,2015-04-23,5,2220
458,48,285,2016-03-22,2,1897
459,21,211,2016-03-29,3,1019
460,34,144,2017-02-16,1,2006
461,68,236,2016-12-21,2,2069
462,8,292,2016-07-31,5,2283
463,95,125,2017-01-16,2,1207
464,62,237,2016-02-08,4,1132
465,12,214,2015-08-01,1,2761
466,18,135,2016-12-17,4,1507
467,51,139,2016-01-09,2,1665
468,27,161,2015-04-28,1,1980
469,61,176,2016-05-01,4,1292
470,86,253,2016-04-14,3,1052
471,86,192,2017-01-19,3,2144
472,2,191,2016-09-07,3,2570
473,66,223,2016-11-24,4,2251
474,39,73,2016-08-27,3,2829
475,30,22,2015-11-24,2,1601
476,54,38,2015-09-04,5,1786
477,56,30,2015-10-16,5,1602
478,31,253,2015-06-26,5,2366
479,30,250,2016-05-25,2,2440
480,96,70,2016-06-08,1,2947
481,81,168,2015-05-20,5,1747
482,8,194,2016-07-24,2,2650
483,44,179,2015-07-28,5,1709
484,52,16,2015-09-30,3,2599
485,40,287,2016-02-01,5,1626
486,24,114,2016-04-27,5,2002
487,82,218,2016-10-09,1,1908
488,82,90,2016-09-13,1,1646
489,44,117,2016-06-13,3,1056
490,47,88,2017-02-07,4,2052
491,81,27,2016-08-10,3,2649
492,13,9,2016-07-02,5,2671
493,79,215,2016-07-09,1,1931
494,28,269,2015-06-14,3,2136
495,55,232,2017-02-27,1,1724
496,4,82,2016-08-03,4,2124
497,43,153,2016-04-27,3,2524
498,28,246,2016-12-18,4,2575
499,69,296,2016-10-04,3,2211
500,5,74,2015-12-04,2,2749
501,65,40,2016-03-23,1,1249
502,98,209,2017-01-11,1,2941
503,21,104,2015-04-28,1,1160
504,60,165,2015-05-06,4,1502
505,74,92,2017-01-18,2,1378
506,15,144,2015-11-01,5,1439
507,74,168,2015-09-22,2,1532
508,77,191,2015-03-11,5,1524
509,96,99,2015-07-29,5,2738
510,94,21,2015-11-23,1,2857
511,4,251,2016-05-10,3,1417
512,83,274,2017-01-28,5,1626
513,60,55,2016-05-09,5,2992
514,89,22,2015-08-31,4,1866
515,57,275,2017-01-02,5,1152
516,47,269,2015-09-08,2,2893
517,98,130,2016-11-23,5,2345
518,22,283,2016-03-11,2,1132
519,7,137,2017-02-09,5,1569
520,3,25,2017-02-10,3,2868
521,36,270,2016-12-09,3,2059
522,41,287,2017-01-09,1,2000
523,93,208,2015-06-22,3,1535
524,44,133,2015-08-18,1,1931
525,33,279,2015-03-13,3,1267
526,63,155,2016-03-15,3,2049
527,74,280,2016-10-20,5,2534
528,38,284,2016-07-27,5,2804
529,35,265,2015-05-14,3,1565
530,1,196,2016-04-04,1,1726
531,99,148,2016-07-11,1,1149
532,52,3,2015-12-27,5,2027
533,2,200,2015-09-20,3,1776
534,13,81,2016-09-30,5,2979
535,62,122,2015-08-11,5,1688
536,55,294,2015-11-28,1,2916
537,56,62,2016-10-01,2,2136
538,93,132,2015-08-01,4,2978
539,70,222,2015-12-08,4,1006
540,22,113,2015-08-04,5,2849
541,98,202,2015-11-04,4,1111
542,69,256,2015-06-14,1,2397
543,48,87,2015-10-03,4,1257
544,36,210,2015-03-13,1,1093
545,65,102,2015-03-30,3,2637
546,80,225,2015-11-11,4,2953
547,21,213,2016-08-24,4,1558
548,88,277,2015-09-16,1,1399
549,8,80,2015-04-25,4,2492
550,92,121,2015-07-20,1,2756
551,12,5,2016-12-09,1,1318
552,30,243,2016-10-20,2,2941
553,1,266,2016-12-16,3,1553
554,95,172,2015-03-11,4,1449
555,52,154,2015-08-10,1,2743
556,59,133,2016-12-18,4,1829
557,26,232,2015-12-29,2,2885
558,22,4,2016-01-09,2,1414
559,2,58,2016-07-19,2,1683
560,78,296,2016-01-12,3,1414
561,64,192,2016-10-06,3,1761
562,80,157,2016-12-24,5,1414
563,91,225,2016-04-12,3,1393
564,34,250,2015-09-29,3,2513
565,25,57,2015-08-01,3,1839
566,74,94,2017-01-25,3,1798
567,12,50,2016-12-22,2,2442
568,15,84,2015-05-28,5,2084
569,91,41,2016-02-10,3,2584
570,16,190,2016-04-30,1,1721
571,54,107,2015-04-12,1,1895
572,15,215,2017-01-06,5,1859
573,58,119,2016-06-03,5,2108
574,69,219,2015-07-20,4,1351
575,61,292,2016-02-12,1,1946
576,59,34,2015-05-23,4,2014
577,95,99,2015-09-10,1,1768
578,73,140,2016-01-21,5,1487
579,57,166,2016-03-29,3,2866
580,45,137,2016-11-27,2,2304
581,91,85,2015-04-23,1,1294
582,28,274,2016-06-01,3,2500
583,47,271,2016-07-21,3,1585
584,54,291,2015-11-04,2,2498
585,82,190,2016-10-19,2,2263
586,57,246,2016-09-18,5,1252
587,34,250,2016-05-04,1,1892
588,96,195,2017-02-20,2,1576
589,46,212,2016-04-19,2,1851
590,76,197,2016-04-29,3,2961
591,96,266,2015-08-24,5,1608
592,34,196,2015-12-16,3,2596
593,3,158,2015-10-08,5,2059
594,96,144,2015-05-05,3,2359
595,26,277,2016-10-04,3,1600
596,63,81,2017-02-19,4,1499
597,36,178,2015-12-17,1,2166
598,18,7,2015-09-16,1,1826
599,61,225,2016-08-08,2,2239
600,61,168,2016-04-25,3,2073
